#POSX POSY POSZ VELX VELY VELZ ID MASS U RHO HSML 
-1.77644 -1.77644 -0.308222 -0.713324 -0.713325 -0.170155 751 0.000679348 0.00848928 0.000832305 2.13902 
-1.0439 -1.33366 -0.360429 -0.288508 -0.377292 -0.130876 587 0.000679348 0.0177452 0.00310545 1.38614 
-1.11402 -1.36014 -1.11402 -0.387611 -0.444876 -0.387611 179 0.000679348 0.0163298 0.00206833 1.57081 
-0.360429 -1.33366 -1.0439 -0.130876 -0.377292 -0.288508 175 0.000679348 0.0177452 0.00310545 1.38614 
-0.330902 -1.73582 -0.330902 -0.147687 -0.522687 -0.147687 583 0.000679348 0.0144026 0.00245631 1.49096 
-0.578417 -2.31952 -0.578417 -0.192829 -0.934153 -0.192829 296 0.000679348 0.00883502 0.000820855 2.14585 
-0.308222 -1.77644 -1.77644 -0.170155 -0.713325 -0.713324 88 0.000679348 0.00848928 0.000832305 2.13902 
-0.360429 -1.04392 -1.33366 -0.130878 -0.288515 -0.377292 27 0.000679348 0.0177446 0.0031053 1.38614 
-1.11402 -1.11402 -1.36014 -0.387611 -0.387611 -0.444876 91 0.000679348 0.0163298 0.00206833 1.57081 
-1.04391 -0.360429 -1.33366 -0.288514 -0.130877 -0.37729 47 0.000679348 0.0177449 0.00310536 1.38615 
-0.578414 -0.578414 -2.31952 -0.192827 -0.192827 -0.934155 32 0.000679348 0.00883467 0.000820806 2.1459 
-0.330893 -0.330893 -1.73576 -0.147678 -0.147677 -0.522643 9 0.000679348 0.0144024 0.00245626 1.49097 
-0.372053 -0.222872 -1.07386 -0.0234744 0.00367321 -0.0176053 7 0.000679348 0.0471335 0.0103339 0.923208 
-0.222877 -0.372049 -1.07386 0.00366409 -0.0234676 -0.0176133 1 0.000679348 0.0471288 0.0103324 0.923251 
-0.0481819 -0.321086 -0.5992 0.0655908 0.148134 0.254758 26 0.000679348 0.139153 0.0770366 0.473783 
-0.32108 -0.0481516 -0.599214 0.148113 0.0657102 0.254253 39 0.000679348 0.139387 0.0772204 0.473392 
-0.140034 -0.115293 -0.525452 0.146245 0.0683199 0.393097 8 0.000679348 0.271998 0.183772 0.351483 
-0.115302 -0.140084 -0.525474 0.0685636 0.145896 0.393093 4 0.000679348 0.271867 0.183626 0.351556 
-0.202338 -0.0174406 -0.385655 0.073791 -0.0350949 0.0644239 130 0.000679348 0.42853 0.50901 0.252402 
-0.194265 -0.144839 -0.369287 0.0415434 0.0265294 0.0594516 33 0.000679348 0.395316 0.487062 0.254842 
-0.144183 -0.195005 -0.368983 0.0267065 0.0406684 0.0593741 40 0.000679348 0.395728 0.488007 0.254719 
-0.0173184 -0.201197 -0.385159 -0.0340731 0.0851028 0.0641433 95 0.000679348 0.429982 0.511849 0.251937 
-0.0653565 -0.139495 -0.29995 0.0237029 0.0215826 0.0199019 34 0.000679348 0.575191 1.15492 0.190722 
-0.042489 -0.0790246 -0.372365 -0.05315 0.088773 -0.053162 42 0.000679348 0.427873 0.767709 0.21988 
-0.140355 -0.0671344 -0.299085 0.0111806 0.0140223 0.032219 48 0.000679348 0.575686 1.15691 0.190645 
-0.0780468 -0.0348636 -0.371058 0.103062 -0.0413956 -0.054968 49 0.000679348 0.436861 0.794007 0.217503 
-0.027157 -0.0282774 -0.281541 0.0110655 0.00230722 -0.0172602 50 0.000679348 0.671252 1.79283 0.166173 
-0.0744262 -0.0684091 -0.246305 0.0389973 0.0181131 -0.0225542 111 0.000679348 0.758544 2.11985 0.156435 
-0.068251 -0.0746956 -0.24633 0.0149678 0.0409432 -0.0224806 102 0.000679348 0.758581 2.11961 0.15644 
-0.00151634 -0.0893907 -0.199001 -0.0109284 0.0151307 0.0109022 113 0.000679348 0.787268 3.31991 0.135211 
-0.105069 -0.100589 -0.170547 -0.0976999 0.216968 0.0309935 201 0.000679348 0.762441 3.1048 0.137737 
-0.10219 -0.103444 -0.17052 0.222306 -0.0982761 0.0350921 212 0.000679348 0.76229 3.10538 0.137751 
-0.08866 -0.00151257 -0.198706 0.0151642 -0.0106909 0.0111344 122 0.000679348 0.788584 3.32833 0.135051 
-0.0554838 -0.0559658 -0.157321 0.0285179 0.0299164 0.0195342 112 0.000679348 1.10412 4.90249 0.118872 
-0.0548369 -0.0553097 -0.156793 0.0424631 0.0446423 0.00325394 213 0.000679348 0.847001 4.95497 0.118025 
-0.0187214 -0.0192168 -0.192493 0.0116031 0.0139198 -0.00407999 123 0.000679348 0.817181 4.20056 0.12505 
-0.0158482 -0.0173666 -0.125071 0.0152279 0.00744992 0.0206509 226 0.000679348 0.854843 8.34353 0.0991339 
-0.0557944 -0.0213164 -0.0775921 -0.00899431 -0.0151241 -0.0205437 354 0.000679348 0.859274 12.3898 0.0868271 
-0.0379817 -0.0395055 -0.0949687 -0.00659774 -0.0207957 0.0205267 341 0.000679348 0.909448 10.3533 0.091802 
-0.0182672 -0.0529348 -0.0780476 0.00975272 0.0142816 -0.0270817 342 0.000679348 0.867877 12.5712 0.0864184 
-0.0168138 -0.00988251 -0.0753148 -0.0276157 0.039446 0.0148932 355 0.000679348 0.831932 16.7952 0.0787918 
-0.0115151 -0.01853 -0.0410604 0.012389 -0.0208152 -0.00158089 499 0.000679348 0.651855 27.2299 0.0670843 
-0.0146662 -0.00181489 -0.0146662 0.0022274 -0.206511 0.0022274 651 0.000679348 0.513015 39.3797 0.0591803 
-0.0103653 -0.0343152 -0.0103653 0.00131528 0.0306294 0.00131528 637 0.000679348 0.720992 31.3663 0.0637628 
-0.0161953 -0.0411673 -0.0414553 -0.0144681 -0.0088064 -0.0208271 485 0.000679348 0.796299 21.2785 0.0726224 
-0.0496645 -0.0503187 -0.0496645 0.00550889 0.00247488 0.00550889 484 0.000679348 0.796282 14.2109 0.0824505 
-0.0414553 -0.0411673 -0.0161953 -0.0208271 -0.0088064 -0.0144681 636 0.000679348 0.796299 21.2785 0.0726224 
-0.0410604 -0.01853 -0.0115151 -0.00158089 -0.0208152 0.012389 650 0.000679348 0.651855 27.2299 0.0670843 
-0.0415677 -0.0113735 -0.0415677 -0.00556734 0.0378132 -0.00556734 498 0.000679348 0.804662 21.6093 0.0722885 
-0.0775921 -0.0213164 -0.0557944 -0.0205437 -0.0151241 -0.00899431 497 0.000679348 0.859274 12.3898 0.0868271 
-0.0753148 -0.00988251 -0.0168138 0.0148932 0.039446 -0.0276157 649 0.000679348 0.831932 16.7952 0.0787918 
-0.0780476 -0.0529348 -0.0182672 -0.0270817 0.0142816 0.00975272 635 0.000679348 0.867877 12.5712 0.0864184 
-0.0949687 -0.0395055 -0.0379817 0.0205267 -0.0207957 -0.00659774 483 0.000679348 0.909448 10.3533 0.091802 
-0.125071 -0.0173666 -0.0158482 0.0206509 0.00744992 0.0152279 648 0.000679348 0.854843 8.34353 0.0991339 
-0.125455 0.000255432 -0.072509 0.0089429 0.0604167 0.0135993 496 0.000679348 0.88755 6.77496 0.10572 
-0.142762 -0.0352339 -0.142421 -0.117698 0.0239565 0.160681 352 0.000679348 0.768741 3.70339 0.129127 
-0.142421 -0.0352339 -0.142762 0.160681 0.0239565 -0.117698 224 0.000679348 0.768741 3.70339 0.129127 
